car,price2014,price2015,price2016,price2017,price2018,price2019,price5yeartotal,src
AcuraMDX,0,0.21,0.32,0.41,0.5,0.57,1.15,assets/data/images/acura.png
AudiQ5,0,0.23,0.35,0.46,0.55,0.63,1.25,assets/data/images/audi.png
BmwX5,0,0.24,0.38,0.49,0.59,0.67,1.35,assets/data/images/bmw.png
BmwX6,0,0.25,0.37,0.48,0.57,0.65,1.3,assets/data/images/bmw.png
CadillacESCALADE,0,0.2,0.31,0.41,0.49,0.57,1.13,assets/data/images/cadillac.png
InfinitiQX60,0,0.22,0.33,0.42,0.5,0.58,1.15,assets/data/images/infiniti.png
LandroverRANGEROVER,0,0.2,0.32,0.42,0.51,0.6,1.19,assets/data/images/landrover.png
LexusRX350,0,0.21,0.31,0.4,0.48,0.55,1.1,assets/data/images/lexus.png
LexusLX570,0,0.17,0.27,0.35,0.42,0.49,0.98,assets/data/images/lexus.png
LincolnMKX,0,0.25,0.37,0.47,0.56,0.63,1.27,assets/data/images/lincoln.png
MercedesbenzMCLASS,0,0.25,0.37,0.48,0.56,0.64,1.28,assets/data/images/mercedesbenz.png
PorscheCAYENNE,0,0.24,0.35,0.44,0.53,0.6,1.2,assets/data/images/porsche.png
VolvoXC90,0,0.24,0.35,0.45,0.54,0.62,1.24,assets/data/images/volvo.png
