car,price2019,price2020,price2021,price2022,price2023,price5yeartotal,src
AcuraMDX,0.11,0.2,0.29,0.37,0.44,0.87,assets/data/acura.png
AudiQ5,0.18,0.27,0.35,0.43,0.49,0.98,assets/data/audi.png
BmwX5,0.19,0.3,0.4,0.49,0.56,1.13,assets/data/bmw.png
BmwX6,0.17,0.27,0.36,0.44,0.51,1.02,assets/data/bmw.png
CadillacESCALADE,0.21,0.3,0.38,0.45,0.52,1.03,assets/data/cadillac.png
InfinitiQX60,0.14,0.24,0.32,0.39,0.46,0.91,assets/data/infiniti.png
LandroverRANGEROVER,0.19,0.28,0.35,0.42,0.48,0.95,assets/data/landrover.png
LexusRX350,0.18,0.27,0.34,0.41,0.48,0.95,assets/data/lexus.png
LexusLX570,0.22,0.31,0.4,0.47,0.54,1.07,assets/data/lexus.png
LincolnMKX,0.23,0.32,0.4,0.47,0.54,1.07,assets/data/lincoln.png
MercedesbenzGLECLASS,0.19,0.29,0.37,0.44,0.51,1.02,assets/data/mercedesbenz.png
PorscheCAYENNE,0.16,0.27,0.36,0.45,0.52,1.05,assets/data/porsche.png
VolvoXC90,0.22,0.31,0.39,0.46,0.52,1.05,assets/data/volvo.png
