car,year,cash_price,true_cost
AcuraMDX,2015,31267,56234
AudiQ5,2015,28339,64606
BmwX5,2015,36523,75292
BmwX6,2015,45522,80979
CadillacESCALADE,2015,49692,78278
InfinitiQX60,2015,31982,58910
LandroverRANGEROVER,2015,60080,102039
LexusRX350,2015,31822,58891
LexusLX570,2015,58384,87715
LincolnMKX,2015,26853,53404
MercedesbenzMCLASS,2015,33351,70205
PorscheCAYENNE,2015,79194,116438
