car,year,cash_price,true_cost
AcuraMDX,2017,43437,57434
AudiQ5,2017,43796,64339
BmwX5,2017,61988,84658
BmwX6,2017,67906,83471
CadillacESCALADE,2017,71247,85827
InfinitiQX60,2017,42666,58670
LandroverRANGEROVER,2017,91334,102157
LexusRX350,2017,45956,59251
LexusLX570,2017,92145,104288
LincolnMKX,2017,37941,58005
MercedesbenzGLECLASS,2017,55116,76886
PorscheCAYENNE,2017,69289,87091
VolvoXC90,2017,49590,66121
