car,year,cash_price,true_cost
AcuraMDX,2014,26142,53918
AudiQ5,2014,23266,62436
BmwX5,2014,31783,75219
BmwX6,2014,34284,77656
CadillacESCALADE,2014,36171,73071
InfinitiQX60,2014,28318,58608
LandroverRANGEROVER,2014,52327,97899
LexusRX350,2014,26720,55282
LexusLX570,2014,53579,83427
LincolnMKX,2014,22712,51715
MercedesbenzMCLASS,2014,31090,72080
PorscheCAYENNE,2014,43477,83860
VolvoXC90,2014,25717,56726
