car,year,cash_price,true_cost
AcuraMDX,2018,44372,57211
AudiQ5,2018,48366,66218
BmwX5,2018,64800,86909
BmwX6,2018,73101,89387
CadillacESCALADE,2018,79604,93866
InfinitiQX60,2018,44840,60650
LandroverRANGEROVER,2018,101927,112451
LexusRX350,2018,50003,64309
LexusLX570,2018,89549,108114
LincolnMKX,2018,41087,60582
MercedesbenzGLECLASS,2018,58835,79969
PorscheCAYENNE,2018,71043,89919
VolvoXC90,2018,54730,70402
